Severity,Mean,Std,Accuracy
1,0.9999666666614515,2.222669831529484e-16,0.996
2,0.9997333332916102,1.111334915764742e-16,0.996
3,0.999099999758601,2.222669831529484e-16,1.0
4,0.9978666663328809,2.222669831529484e-16,0.994
5,0.9958333329608046,2.222669831529484e-16,0.99
6,0.9927999980688094,0.0,0.996
7,0.9885666643301646,2.222669831529484e-16,0.99
8,0.9829333306630449,2.222669831529484e-16,0.994
9,0.9756999971032144,2.222669831529484e-16,0.982
10,0.9666666636864341,2.222669831529484e-16,0.98
11,0.9556333304484688,3.3340047472942265e-16,0.968
12,0.9423999845504749,2.222669831529484e-16,0.958
13,0.9267666495422513,4.445339663058968e-16,0.958
14,0.9085333146413159,4.445339663058968e-16,0.94
15,0.8875000201165661,2.222669831529484e-16,0.91
16,0.8634666910807277,0.0,0.864
17,0.836233336778482,2.222669831529484e-16,0.824
18,0.8056000347614265,2.222669831529484e-16,0.796
19,0.7713666752735773,0.0,0.786
20,0.7333333810170466,2.222669831529484e-16,0.718
21,0.6913000157713889,2.222669831529484e-16,0.672
22,0.6450666435877477,0.0,0.626
23,0.5944333585580185,0.0,0.572
24,0.5391999794006345,0.0,0.496
25,0.4791667039195689,1.6670023736471132e-16,0.46
26,0.4141333172162372,5.55667457882371e-17,0.412
27,0.3439000521421418,0.0,0.352
28,0.26826665732065846,1.111334915764742e-16,0.284
29,0.18703340351184,5.55667457882371e-17,0.224
